speed,acceleration,power_required_kw,torque_required_nm,battery_soc,battery_temp,aux_load_kw,grade_angle,regen_available,braking,traffic_condition,current_segment,next_segment,driver_profile,trip_id,route_template,label,confidence,reason
15.98,0.441,9.82,400.0,82.09,28.26,0.62,0.02,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
19.36,4.218,40.91,400.0,82.04,28.33,0.55,0.36,False,False,light,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
21.57,2.77,20.98,400.0,81.84,28.35,0.59,-1.47,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
23.44,2.329,19.0,400.0,81.73,28.39,0.54,-2.13,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
24.89,1.814,13.37,400.0,81.64,28.42,0.5,-1.04,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
26.3,1.761,15.16,400.0,81.57,28.46,0.42,-0.5,False,False,light,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
26.46,0.2,6.45,400.0,81.49,28.53,0.42,0.38,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
26.62,0.2,9.51,400.0,81.46,28.58,0.41,0.17,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
27.16,0.678,13.84,400.0,81.41,28.65,0.43,0.43,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
31.12,4.947,46.83,400.0,81.34,28.68,0.57,-0.38,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
32.31,1.49,20.82,400.0,81.11,28.74,0.57,0.34,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
32.47,0.2,4.62,400.0,81.01,28.76,0.44,-0.88,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
32.9,0.532,12.71,400.0,80.98,28.79,0.58,1.0,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
34.48,1.985,19.64,400.0,80.92,28.84,0.83,-1.08,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
34.64,0.2,10.67,400.0,80.82,28.91,0.75,0.32,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
34.8,0.2,10.94,400.0,80.77,28.96,0.87,2.21,False,False,light,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
38.8,5.0,48.17,400.0,80.71,28.98,1.16,-1.1,False,False,light,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
42.77,4.957,48.3,400.0,80.47,29.0,1.12,-0.25,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
40.85,-2.4,-12.55,-100.0,80.23,29.01,1.22,0.47,True,True,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
42.05,1.5,19.97,400.0,80.31,29.05,1.38,0.32,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
41.81,-0.3,2.72,232.46,80.21,29.12,1.47,0.48,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.43,2.027,23.41,400.0,80.2,29.19,1.49,-0.29,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.47,0.053,4.17,342.92,80.08,29.22,1.52,-0.37,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
44.15,0.843,12.11,400.0,80.06,29.26,1.58,-1.05,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
48.14,4.988,49.76,400.0,80.0,29.29,1.58,0.83,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
47.48,-0.826,-4.06,-100.0,79.75,29.3,1.77,1.17,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
47.64,0.2,14.81,400.0,79.78,29.37,1.7,1.51,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
45.23,-3.007,-15.69,-100.0,79.71,29.39,1.47,1.16,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
49.02,4.732,46.68,400.0,79.81,29.4,1.31,-0.59,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
49.3,0.358,14.17,400.0,79.58,29.44,1.34,1.07,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
48.16,-1.425,-8.18,-100.0,79.51,29.46,1.48,-0.13,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
50.72,3.189,38.97,400.0,79.56,29.53,1.54,1.33,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
50.48,-0.3,9.55,400.0,79.37,29.56,1.38,0.11,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
49.4,-1.341,-6.43,-100.0,79.32,29.57,1.39,-1.41,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
50.82,1.776,24.74,400.0,79.36,29.59,1.31,0.23,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
51.39,0.713,13.96,400.0,79.24,29.65,1.12,-0.27,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
48.98,-3.017,-15.37,-100.0,79.17,29.68,1.22,0.2,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
48.74,-0.3,3.27,239.74,79.27,29.71,1.14,-0.84,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
48.9,0.2,8.94,400.0,79.26,29.77,1.12,-1.04,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
46.66,-2.801,-14.66,-100.0,79.21,29.77,1.16,0.43,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
46.82,0.2,11.34,400.0,79.31,29.82,1.19,-0.33,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
50.82,5.0,51.29,400.0,79.25,29.87,1.23,0.16,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
47.31,-4.384,-23.04,-100.0,79.0,29.88,1.2,-0.46,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
46.13,-1.478,-7.68,-100.0,79.15,29.9,1.16,0.19,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
46.75,0.779,17.46,400.0,79.21,29.95,1.22,1.43,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
45.67,-1.355,-6.11,-100.0,79.12,29.96,1.19,1.09,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
45.23,-0.549,-4.74,-100.0,79.16,29.96,1.33,-1.5,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
40.43,-6.0,-25.0,-100.0,79.19,29.98,1.38,0.43,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
41.49,1.328,20.25,400.0,79.36,30.05,1.31,0.34,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
41.65,0.2,11.58,400.0,79.26,30.11,1.45,-0.19,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
42.27,0.776,14.01,400.0,79.2,30.14,1.3,-0.45,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
42.43,0.2,4.24,356.5,79.13,30.2,1.28,-1.69,False,False,medium,suburban,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
42.59,0.2,12.03,400.0,79.11,30.26,1.33,0.99,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.3,0.886,9.33,400.0,79.05,30.28,1.28,-1.55,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
44.58,1.602,24.97,400.0,79.01,30.36,1.27,1.35,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
44.74,0.2,8.56,400.0,78.88,30.41,1.12,0.39,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
46.53,2.227,21.86,400.0,78.84,30.43,1.01,-1.73,False,False,medium,arterial,arterial,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
46.69,0.2,12.01,400.0,78.73,30.49,1.2,2.42,False,False,light,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.55,-3.922,-20.13,-100.0,78.67,30.52,1.22,1.22,True,True,light,arterial,arterial,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
46.79,4.049,39.8,400.0,78.81,30.56,1.26,-0.95,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
45.47,-1.647,-7.79,-100.0,78.61,30.58,1.14,-1.21,True,True,heavy,arterial,arterial,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
45.23,-0.3,6.16,400.0,78.66,30.62,1.18,0.05,False,False,light,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
45.39,0.2,19.52,400.0,78.63,30.67,1.14,2.42,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
46.29,1.12,19.83,400.0,78.53,30.75,1.21,0.87,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
47.26,1.216,13.17,400.0,78.43,30.79,1.17,-2.6,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
47.42,0.2,9.11,400.0,78.37,30.83,1.3,0.48,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
47.58,0.2,6.38,400.0,78.32,30.91,1.13,-0.12,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
46.92,-0.823,-4.83,-100.0,78.29,30.93,1.17,-1.98,True,True,light,arterial,arterial,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
48.74,2.275,30.38,400.0,78.32,30.99,1.29,1.23,False,False,light,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
49.24,0.629,19.08,400.0,78.17,31.04,1.25,1.19,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
49.4,0.2,3.27,236.68,78.08,31.08,1.16,-1.17,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
50.21,1.01,18.69,400.0,78.06,31.11,1.06,-0.09,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
51.39,1.473,17.42,400.0,77.97,31.15,1.04,-1.55,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
52.03,0.798,17.2,400.0,77.88,31.21,0.89,-0.14,False,False,medium,arterial,arterial,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
54.46,3.035,30.88,400.0,77.79,31.22,0.9,-1.68,False,False,light,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
54.49,0.047,8.63,400.0,77.64,31.27,1.0,1.21,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
53.01,-1.851,-7.46,-100.0,77.6,31.3,0.96,0.77,True,True,medium,arterial,arterial,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
50.19,-3.523,-15.83,-100.0,77.65,31.32,1.05,1.7,True,True,heavy,arterial,arterial,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
52.41,2.771,33.67,400.0,77.76,31.34,0.87,0.96,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
52.17,-0.3,10.88,400.0,77.59,31.36,0.87,2.04,False,False,light,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
53.47,1.621,21.54,400.0,77.54,31.41,1.05,-0.08,False,False,medium,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
53.48,0.013,5.63,375.9,77.43,31.44,0.93,-1.62,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
51.73,-2.184,-9.86,-100.0,77.4,31.46,0.93,1.54,True,True,light,arterial,arterial,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
53.54,2.259,30.06,400.0,77.47,31.5,0.9,1.65,False,False,heavy,arterial,arterial,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
52.24,-1.621,-8.73,-100.0,77.32,31.52,0.86,0.47,True,True,heavy,arterial,arterial,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
50.06,-2.722,-14.77,-100.0,77.38,31.53,0.86,-3.17,True,True,heavy,arterial,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
50.22,0.2,10.86,400.0,77.48,31.6,0.82,1.56,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
50.57,0.428,14.97,400.0,77.43,31.68,1.0,-0.34,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
50.33,-0.3,6.67,400.0,77.35,31.72,0.96,-0.71,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
49.06,-1.582,-7.57,-100.0,77.32,31.73,1.03,0.42,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
47.56,-1.874,-8.54,-100.0,77.37,31.74,0.99,-1.34,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
44.75,-3.512,-17.5,-100.0,77.43,31.75,0.99,-1.89,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
46.31,1.951,18.98,400.0,77.56,31.77,0.88,-1.11,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
41.71,-5.753,-25.0,-100.0,77.46,31.77,0.88,-0.56,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
41.87,0.2,6.47,400.0,77.64,31.84,0.89,-1.54,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
41.63,-0.3,2.32,199.12,77.6,31.88,0.82,-1.28,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
41.87,0.296,13.4,400.0,77.59,31.9,0.95,1.44,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
40.41,-1.821,-9.27,-100.0,77.53,31.92,0.99,1.88,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
39.35,-1.328,-4.99,-100.0,77.59,31.92,1.05,0.31,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
41.93,3.232,35.95,400.0,77.63,31.97,1.08,0.89,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
40.79,-1.426,-8.85,-100.0,77.45,31.98,1.13,0.45,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
41.22,0.532,12.38,400.0,77.51,32.02,1.14,-0.0,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
41.38,0.2,9.31,400.0,77.45,32.04,1.15,-0.74,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.57,2.734,29.68,400.0,77.4,32.08,1.0,-1.04,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.62,0.069,10.11,400.0,77.25,32.16,0.86,0.37,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
44.34,0.895,19.37,400.0,77.2,32.2,0.99,0.87,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
45.73,1.742,23.32,400.0,77.1,32.23,0.92,0.82,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
45.81,0.102,9.37,400.0,76.99,32.26,0.8,-0.37,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
42.96,-3.568,-17.79,-100.0,76.94,32.27,0.76,-0.27,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
44.81,2.32,21.1,400.0,77.07,32.32,0.77,-2.11,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
46.34,1.906,22.88,400.0,76.96,32.37,0.77,0.49,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
48.62,2.855,34.24,400.0,76.85,32.4,0.69,0.97,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
48.78,0.2,6.72,400.0,76.67,32.44,0.7,-1.24,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
50.22,1.8,23.76,400.0,76.64,32.51,0.85,0.12,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
50.21,-0.018,12.04,400.0,76.52,32.57,0.84,0.46,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
46.7,-4.389,-21.72,-100.0,76.46,32.6,0.78,1.32,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
45.62,-1.351,-6.65,-100.0,76.62,32.63,0.64,-0.41,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
43.3,-2.894,-13.68,-100.0,76.66,32.63,0.76,0.18,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
46.49,3.984,42.03,400.0,76.76,32.67,0.82,0.61,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
43.93,-3.192,-15.12,-100.0,76.55,32.69,0.7,1.49,True,True,medium,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
43.69,-0.3,3.58,292.81,76.66,32.7,0.75,0.35,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.65,-0.055,10.2,400.0,76.64,32.77,0.54,1.77,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
43.98,0.415,13.15,400.0,76.59,32.82,0.54,1.29,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
44.14,0.2,7.7,400.0,76.52,32.84,0.59,-0.54,False,False,medium,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
45.64,1.868,21.8,400.0,76.49,32.88,0.66,0.27,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
45.8,0.2,6.03,400.0,76.38,32.93,0.51,-1.19,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
49.8,5.0,44.95,400.0,76.35,32.95,0.32,-0.36,False,False,light,suburban,suburban,erratic,0,suburban_loop,HYBRID_ASSIST,1.0,Smart heuristic target with stochastic noise
46.28,-4.4,-21.85,-100.0,76.12,32.97,0.3,0.37,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
47.46,1.479,19.35,400.0,76.28,33.04,0.36,-0.32,False,False,medium,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
48.25,0.987,23.28,400.0,76.18,33.07,0.3,1.93,False,False,light,suburban,suburban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
46.06,-2.729,-13.75,-100.0,76.07,33.08,0.3,-0.65,True,True,light,suburban,suburban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
47.74,2.095,22.87,400.0,76.16,33.1,0.3,-0.49,False,False,light,suburban,urban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
44.71,-3.793,-19.01,-100.0,76.05,33.13,0.34,1.29,True,True,light,urban,urban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
43.98,-0.907,-3.98,-100.0,76.19,33.14,0.3,0.57,True,True,light,urban,urban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
42.48,-1.87,-10.14,-100.0,76.22,33.15,0.36,0.03,True,True,medium,urban,urban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
39.68,-3.502,-18.04,-100.0,76.29,33.18,0.32,1.04,True,True,light,urban,urban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
39.24,-0.549,-3.54,-100.0,76.42,33.19,0.3,0.3,True,True,heavy,urban,urban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
38.44,-1.0,-4.9,-100.0,76.44,33.19,0.3,0.8,True,True,light,urban,urban,erratic,0,suburban_loop,REGEN,1.0,Smart heuristic target with stochastic noise
40.68,2.8,34.78,400.0,76.48,33.27,0.3,1.54,False,False,heavy,urban,urban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
40.54,-0.18,5.23,400.0,76.3,33.31,0.3,0.36,False,False,heavy,urban,urban,erratic,0,suburban_loop,BATTERY_ONLY,1.0,Smart heuristic target with stochastic noise
